Name,RA,DEC,Mag,Distance,Temperature,Radius,Luminosity,RA_hms,DEC_dms
Zuben Elgenubi,232.1916,-16.9369,1.61,77.0,8050,4.7,2.9921023441527024e+16,15:28:45.98,-16:56:12.84
Zubenesham,233.5678,-15.0442,-0.43,152.0,10800,5.9,9.693663612755008e+16,15:34:16.27,-15:02:39.12
Becrux,198.9674,-72.602,-4.64,108.0,27000,8.5,3.7865873487324247e+18,13:15:52.18,-72:36:07.20
Nunki,275.2483,-26.2967,1.02,70.0,9800,4.2,6.5719950201990536e+16,18:20:59.59,-26:17:48.12
Algieba,154.993,-19.8415,0.87,39.3,4930,4.9,4209016226411208.5,10:19:58.32,-19:50:29.40
Al Nair,332.2375,-46.9609,0.14,32.6,13000,2.0,2.035008990031759e+17,22:08:57.00,-46:57:39.24
Mu Cephei,319.0416,58.673,-7.09,2400.0,3700,1420.0,1335364477352652.8,21:16:09.98,+58:40:22.80
Eltanin,271.5787,51.4893,1.34,47.3,3940,10.1,1717029711322588.0,18:06:18.89,+51:29:21.48
Elev,240.9032,16.1204,-7.48,193.0,5350,69.0,5837246736038127.0,16:03:36.77,+16:07:13.44
Markab,324.5682,15.8351,-0.35,83.0,9960,3.3,7.011812214603671e+16,21:38:16.37,+15:50:06.36
Ruchbah,10.5617,60.2355,0.87,99.0,3400,40.0,952157058122292.8,00:42:14.81,+60:14:07.80
Coxa Australis,276.0429,-34.3847,-2.15,44.8,7900,3.6,2.7752447392411052e+16,18:24:10.30,-34:23:04.92
Okul,331.445,19.1088,0.78,153.0,15600,3.0,4.2197946417298554e+17,22:05:46.80,+19:06:31.68
Talitha,168.7078,56.382,-0.44,147.0,10200,2.5,7.712472170790573e+16,11:14:49.87,+56:22:55.20
